doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet,3.095,0.008,10.998,0.003
1,mpnet,2.689,0.002,11.292,0.005
2,mpnet,3.329,0.007,11.056,0.004
3,mpnet,2.23,0.003,10.86,0.003
4,mpnet,3.063,0.006,11.063,0.004
5,mpnet,2.694,0.005,0.131,0.002
6,mpnet,1.273,0.007,0.116,0.003
7,mpnet,2.153,0.011,0.114,0.002
8,mpnet,2.558,0.006,0.127,0.004
9,mpnet,5.049,0.007,0.137,0.005
10,mpnet,1.287,0.003,0.156,0.003
11,mpnet,3.959,0.007,0.174,0.004
12,mpnet,3.371,0.006,0.17,0.003
13,mpnet,5.529,0.008,0.153,0.004
14,mpnet,3.31,0.009,0.131,0.004
15,mpnet,0.569,0.0,0.058,0.002
16,mpnet,1.36,0.003,0.094,0.003
17,mpnet,0.92,0.002,0.103,0.003
18,mpnet,0.259,0.0,0.03,0.002
19,mpnet,1.356,0.007,0.23,0.003
20,mpnet,6.321,0.003,0.153,0.004
21,mpnet,3.718,0.002,0.135,0.003
22,mpnet,4.779,0.008,0.107,0.002
23,mpnet,5.337,0.006,0.259,0.004
24,mpnet,3.486,0.002,0.087,0.002
25,mpnet,2.23,0.001,0.102,0.003
26,mpnet,7.083,0.005,0.154,0.002
27,mpnet,2.621,0.003,0.076,0.002
28,mpnet,2.595,0.001,0.078,0.002
29,mpnet,6.341,0.008,0.185,0.003
30,mpnet,2.678,0.001,0.124,0.002
31,mpnet,8.154,0.023,0.436,0.005
32,mpnet,4.073,0.004,0.1,0.003
33,mpnet,3.433,0.005,0.143,0.003
34,mpnet,3.345,0.002,0.089,0.003
35,mpnet,2.35,0.001,0.119,0.003
36,mpnet,5.038,0.015,0.257,0.004
37,mpnet,4.356,0.003,0.08,0.002
38,mpnet,1.349,0.001,0.079,0.003
39,mpnet,2.23,0.003,0.13,0.003
40,mpnet,2.708,0.003,0.085,0.002
41,mpnet,5.92,0.008,0.236,0.004
42,mpnet,2.778,0.006,0.08,0.002
43,mpnet,13.663,0.019,0.63,0.006
44,mpnet,9.124,0.003,0.078,0.003
45,mpnet,8.088,0.01,0.167,0.003
46,mpnet,2.434,0.004,0.104,0.003
47,mpnet,10.749,0.002,0.139,0.004
48,mpnet,5.998,0.004,0.091,0.002
49,mpnet,3.327,0.0,0.097,0.002
50,mpnet,1.26,0.004,0.089,0.003
51,mpnet,3.86,0.009,0.275,0.006
52,mpnet,10.017,0.014,0.303,0.008
53,mpnet,2.956,0.003,0.134,0.002
54,mpnet,2.417,0.002,0.098,0.003
55,mpnet,10.063,0.008,0.183,0.004
56,mpnet,2.531,0.0,0.08,0.003
57,mpnet,2.699,0.0,0.1,0.003
58,mpnet,11.174,0.001,0.159,0.004
59,mpnet,0.356,0.002,0.096,0.003
60,mpnet,4.08,0.005,0.174,0.004
61,mpnet,6.642,0.019,0.423,0.003
