doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4027,allow_hierarchical,0,0.014,10.343,,0.003
4028,allow_hierarchical,0,0.003,10.219,,0.005
4029,allow_hierarchical,0,0.007,10.341,,0.003
4030,allow_hierarchical,0,0.003,10.331,,0.002
4031,allow_hierarchical,0,0.011,10.372,,0.002
4032,allow_hierarchical,0,0.014,10.57,,0.006
4033,allow_hierarchical,0,0.004,0.375,,0.005
4034,allow_hierarchical,0,0.006,0.146,,0.002
4035,allow_hierarchical,0,0.002,0.146,,0.002
4036,allow_hierarchical,0,0.007,0.191,,0.003
4037,allow_hierarchical,0,0.002,0.103,,0.002
4038,allow_hierarchical,0,0.002,0.102,,0.002
4039,allow_hierarchical,0,0.001,0.08,,0.002
4040,allow_hierarchical,0,0.001,0.07,,0.002
4041,allow_hierarchical,0,0.003,0.129,,0.002
4042,allow_hierarchical,0,0.002,0.086,,0.002
4043,allow_hierarchical,0,0.0,0.1,,0.003
4044,allow_hierarchical,0,0.004,0.128,,0.003
4045,allow_hierarchical,0,0.002,0.078,,0.002
4046,allow_hierarchical,0,0.007,0.234,,0.005
4047,allow_hierarchical,0,0.0,0.057,,0.002
4048,allow_hierarchical,0,0.001,0.078,,0.002
4049,allow_hierarchical,0,0.002,0.088,,0.002
4050,allow_hierarchical,0,0.002,0.115,,0.004
4051,allow_hierarchical,0,0.004,0.149,,0.007
4052,allow_hierarchical,0,0.012,0.583,,0.006
4053,allow_hierarchical,0,0.006,0.276,,0.004
4054,allow_hierarchical,0,0.001,0.074,,0.003
4055,allow_hierarchical,0,0.0,0.01,,0.001
4056,allow_hierarchical,0,0.017,0.35,,0.004
4057,allow_hierarchical,0,0.024,0.217,,0.004
4058,allow_hierarchical,0,0.002,0.1,,0.002
4059,allow_hierarchical,0,0.005,0.183,,0.002
4060,allow_hierarchical,0,0.002,0.11,,0.002
4061,allow_hierarchical,0,0.003,0.133,,0.003
4062,allow_hierarchical,0,0.002,0.076,,0.002
4063,allow_hierarchical,0,0.0,0.016,,0.001
4064,allow_hierarchical,0,0.0,0.063,,0.002
4065,allow_hierarchical,0,0.0,0.062,,0.002
4066,allow_hierarchical,0,0.003,0.114,,0.002
4067,allow_hierarchical,0,0.003,0.121,,0.002
4068,allow_hierarchical,0,0.006,0.255,,0.005
4069,allow_hierarchical,0,0.009,0.185,,0.003
4070,allow_hierarchical,0,0.0,0.085,,0.002
4071,allow_hierarchical,0,0.003,0.133,,0.003
4072,allow_hierarchical,0,0.001,0.093,,0.003
4073,allow_hierarchical,0,0.003,0.145,,0.003
4074,allow_hierarchical,0,0.002,0.139,,0.002
4075,allow_hierarchical,0,0.004,0.163,,0.003
4076,allow_hierarchical,0,0.011,0.36,,0.005
4077,allow_hierarchical,0,0.003,0.119,,0.002
