doc,exp,sent_t,chain_t,umap_t,cluster_t
0,allow_hierarchical,0,0.016,12.289,0.004
1,allow_hierarchical,0,0.005,12.384,0.003
2,allow_hierarchical,0,0.012,12.384,0.007
3,allow_hierarchical,0,0.002,12.511,0.003
4,allow_hierarchical,0,0.005,12.403,0.003
5,allow_hierarchical,0,0.01,12.364,0.004
6,allow_hierarchical,0,0.005,0.127,0.003
7,allow_hierarchical,0,0.009,0.142,0.003
8,allow_hierarchical,0,0.006,0.153,0.003
9,allow_hierarchical,0,0.019,0.177,0.003
10,allow_hierarchical,0,0.004,0.144,0.003
11,allow_hierarchical,0,0.003,0.213,0.003
12,allow_hierarchical,0,0.01,0.2,0.002
13,allow_hierarchical,0,0.009,0.232,0.003
14,allow_hierarchical,0,0.004,0.189,0.003
15,allow_hierarchical,0,0.0,0.0,0.002
16,allow_hierarchical,0,0.001,0.088,0.003
17,allow_hierarchical,0,0.001,0.091,0.003
18,allow_hierarchical,0,0.0,0.0,0.001
19,allow_hierarchical,0,0.005,0.282,0.005
20,allow_hierarchical,0,0.005,0.197,0.004
21,allow_hierarchical,0,0.002,0.11,0.003
22,allow_hierarchical,0,0.003,0.102,0.002
23,allow_hierarchical,0,0.004,0.241,0.003
24,allow_hierarchical,0,0.003,0.132,0.002
25,allow_hierarchical,0,0.001,0.114,0.002
26,allow_hierarchical,0,0.01,0.197,0.004
27,allow_hierarchical,0,0.005,0.096,0.002
28,allow_hierarchical,0,0.001,0.08,0.002
29,allow_hierarchical,0,0.004,0.228,0.008
30,allow_hierarchical,0,0.001,0.071,0.002
31,allow_hierarchical,0,0.007,0.769,0.01
32,allow_hierarchical,0,0.002,0.119,0.003
33,allow_hierarchical,0,0.004,0.201,0.004
34,allow_hierarchical,0,0.002,0.103,0.003
35,allow_hierarchical,0,0.001,0.111,0.003
36,allow_hierarchical,0,0.009,0.319,0.02
37,allow_hierarchical,0,0.009,0.115,0.003
38,allow_hierarchical,0,0.001,0.0,0.002
39,allow_hierarchical,0,0.004,0.127,0.002
40,allow_hierarchical,0,0.005,0.083,0.002
41,allow_hierarchical,0,0.009,0.398,0.005
42,allow_hierarchical,0,0.006,0.136,0.003
43,allow_hierarchical,0,0.013,0.817,0.007
44,allow_hierarchical,0,0.004,0.092,0.002
45,allow_hierarchical,0,0.011,0.284,0.004
46,allow_hierarchical,0,0.006,0.156,0.003
47,allow_hierarchical,0,0.002,0.074,0.003
48,allow_hierarchical,0,0.003,0.112,0.003
49,allow_hierarchical,0,0.002,0.087,0.003
50,allow_hierarchical,0,0.004,0.075,0.002
51,allow_hierarchical,0,0.015,0.281,0.005
52,allow_hierarchical,0,0.007,0.225,0.003
53,allow_hierarchical,0,0.001,0.098,0.002
54,allow_hierarchical,0,0.002,0.102,0.002
55,allow_hierarchical,0,0.009,0.151,0.003
56,allow_hierarchical,0,0.001,0.0,0.002
57,allow_hierarchical,0,0.001,0.078,0.002
58,allow_hierarchical,0,0.001,0.078,0.002
59,allow_hierarchical,0,0.003,0.085,0.002
60,allow_hierarchical,0,0.006,0.176,0.004
61,allow_hierarchical,0,0.005,0.156,0.003
62,allow_hierarchical,0,0.007,0.187,0.004
63,allow_hierarchical,0,0.003,0.086,0.002
64,allow_hierarchical,0,0.007,0.171,0.003
65,allow_hierarchical,0,0.003,0.16,0.003
66,allow_hierarchical,0,0.008,0.187,0.003
67,allow_hierarchical,0,0.01,0.21,0.003
68,allow_hierarchical,0,0.009,0.391,0.004
69,allow_hierarchical,0,0.007,0.271,0.004
70,allow_hierarchical,0,0.001,0.101,0.002
71,allow_hierarchical,0,0.0,0.093,0.002
72,allow_hierarchical,0,0.007,0.25,0.004
73,allow_hierarchical,0,0.003,0.121,0.003
74,allow_hierarchical,0,0.0,0.0,0.0
75,allow_hierarchical,0,0.012,0.333,0.008
76,allow_hierarchical,0,0.006,0.124,0.002
77,allow_hierarchical,0,0.01,0.191,0.004
78,allow_hierarchical,0,0.001,0.098,0.002
79,allow_hierarchical,0,0.006,0.188,0.003
80,allow_hierarchical,0,0.0,0.081,0.002
81,allow_hierarchical,0,0.002,0.09,0.002
82,allow_hierarchical,0,0.008,0.189,0.005
83,allow_hierarchical,0,0.002,0.109,0.003
84,allow_hierarchical,0,0.002,0.095,0.002
85,allow_hierarchical,0,0.007,0.314,0.006
86,allow_hierarchical,0,0.002,0.133,0.004
87,allow_hierarchical,0,0.005,0.246,0.005
88,allow_hierarchical,0,0.02,0.383,0.008
89,allow_hierarchical,0,0.0,0.0,0.002
90,allow_hierarchical,0,0.005,0.162,0.004
91,allow_hierarchical,0,0.001,0.106,0.002
92,allow_hierarchical,0,0.003,0.086,0.002
93,allow_hierarchical,0,0.023,0.33,0.004
94,allow_hierarchical,0,0.006,0.091,0.002
95,allow_hierarchical,0,0.002,0.097,0.003
96,allow_hierarchical,0,0.003,0.071,0.002
97,allow_hierarchical,0,0.005,0.195,0.002
98,allow_hierarchical,0,0.004,0.138,0.003
99,allow_hierarchical,0,0.01,0.157,0.002
