doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,mpnet_most_similar,0,0.014,11.81,0.009
1,mpnet_most_similar,0,0.002,11.891,0.007
2,mpnet_most_similar,0,0.018,11.822,0.005
3,mpnet_most_similar,0,0.005,11.913,0.003
4,mpnet_most_similar,0,0.016,11.799,0.005
5,mpnet_most_similar,0,0.018,12.319,0.005
6,mpnet_most_similar,0,0.013,0.117,0.003
7,mpnet_most_similar,0,0.022,0.155,0.003
8,mpnet_most_similar,0,0.018,0.172,0.004
9,mpnet_most_similar,0,0.029,0.233,0.004
10,mpnet_most_similar,0,0.004,0.187,0.004
11,mpnet_most_similar,0,0.011,0.233,0.006
12,mpnet_most_similar,0,0.028,0.25,0.004
13,mpnet_most_similar,0,0.046,0.254,0.003
14,mpnet_most_similar,0,0.03,0.185,0.003
15,mpnet_most_similar,0,0.001,0.081,0.002
16,mpnet_most_similar,0,0.006,0.098,0.003
17,mpnet_most_similar,0,0.005,0.123,0.003
18,mpnet_most_similar,0,0.0,0.038,0.002
19,mpnet_most_similar,0,0.019,0.28,0.003
20,mpnet_most_similar,0,0.015,0.184,0.005
21,mpnet_most_similar,0,0.005,0.136,0.003
22,mpnet_most_similar,0,0.01,0.118,0.003
23,mpnet_most_similar,0,0.015,0.253,0.005
24,mpnet_most_similar,0,0.01,0.107,0.003
25,mpnet_most_similar,0,0.001,0.129,0.004
26,mpnet_most_similar,0,0.021,0.159,0.004
27,mpnet_most_similar,0,0.017,0.12,0.002
28,mpnet_most_similar,0,0.009,0.086,0.003
29,mpnet_most_similar,0,0.019,0.229,0.004
30,mpnet_most_similar,0,0.001,0.149,0.004
31,mpnet_most_similar,0,0.029,0.593,0.017
32,mpnet_most_similar,0,0.008,0.186,0.003
33,mpnet_most_similar,0,0.008,0.198,0.003
34,mpnet_most_similar,0,0.007,0.097,0.007
35,mpnet_most_similar,0,0.001,0.148,0.004
36,mpnet_most_similar,0,0.029,0.281,0.006
37,mpnet_most_similar,0,0.009,0.123,0.004
38,mpnet_most_similar,0,0.001,0.071,0.003
39,mpnet_most_similar,0,0.012,0.146,0.003
40,mpnet_most_similar,0,0.009,0.094,0.003
41,mpnet_most_similar,0,0.026,0.316,0.009
42,mpnet_most_similar,0,0.019,0.13,0.003
43,mpnet_most_similar,0,0.042,0.85,0.009
44,mpnet_most_similar,0,0.01,0.094,0.002
