doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,nochain,0,0.0,11.586,0.008
1,nochain,0,0.0,11.645,0.004
2,nochain,0,0.0,11.611,0.004
3,nochain,0,0.0,11.523,0.003
4,nochain,0,0.0,11.588,0.003
5,nochain,0,0.0,11.52,0.004
6,nochain,0,0.0,0.148,0.004
7,nochain,0,0.0,0.24,0.005
8,nochain,0,0.0,0.191,0.004
9,nochain,0,0.0,0.366,0.005
10,nochain,0,0.0,0.146,0.003
11,nochain,0,0.0,0.237,0.003
12,nochain,0,0.0,0.377,0.007
13,nochain,0,0.0,0.36,0.007
14,nochain,0,0.0,0.235,0.005
15,nochain,0,0.0,0.057,0.002
16,nochain,0,0.0,0.081,0.002
17,nochain,0,0.0,0.123,0.003
18,nochain,0,0.0,0.03,0.002
19,nochain,0,0.0,0.299,0.004
20,nochain,0,0.0,0.196,0.003
21,nochain,0,0.0,0.146,0.004
22,nochain,0,0.0,0.171,0.003
23,nochain,0,0.0,0.254,0.004
24,nochain,0,0.0,0.123,0.002
25,nochain,0,0.0,0.091,0.002
26,nochain,0,0.0,0.267,0.006
27,nochain,0,0.0,0.178,0.003
28,nochain,0,0.0,0.1,0.003
29,nochain,0,0.0,0.275,0.005
30,nochain,0,0.0,0.122,0.003
31,nochain,0,0.0,0.818,0.013
32,nochain,0,0.0,0.215,0.006
33,nochain,0,0.0,0.23,0.002
34,nochain,0,0.0,0.181,0.003
35,nochain,0,0.0,0.179,0.003
36,nochain,0,0.0,0.41,0.008
37,nochain,0,0.0,0.162,0.004
38,nochain,0,0.0,0.076,0.002
39,nochain,0,0.0,0.161,0.003
40,nochain,0,0.0,0.208,0.015
41,nochain,0,0.0,0.593,0.008
42,nochain,0,0.0,0.315,0.006
43,nochain,0,0.001,1.101,0.012
44,nochain,0,0.0,0.297,0.014
45,nochain,0,0.0,0.421,0.005
46,nochain,0,0.0,0.245,0.003
47,nochain,0,0.0,0.106,0.003
48,nochain,0,0.0,0.151,0.003
49,nochain,0,0.0,0.101,0.003
50,nochain,0,0.0,0.118,0.003
51,nochain,0,0.0,0.533,0.009
52,nochain,0,0.0,0.385,0.004
53,nochain,0,0.0,0.157,0.003
54,nochain,0,0.0,0.239,0.002
55,nochain,0,0.001,0.522,0.004
56,nochain,0,0.0,0.11,0.002
57,nochain,0,0.0,0.078,0.002
58,nochain,0,0.0,0.114,0.003
59,nochain,0,0.0,0.099,0.002
60,nochain,0,0.0,0.206,0.003
61,nochain,0,0.002,0.221,0.003
62,nochain,0,0.0,0.262,0.006
63,nochain,0,0.0,0.123,0.003
64,nochain,0,0.0,0.288,0.005
65,nochain,0,0.0,0.181,0.004
66,nochain,0,0.0,0.291,0.004
67,nochain,0,0.0,0.334,0.005
68,nochain,0,0.0,0.485,0.005
69,nochain,0,0.0,0.403,0.006
70,nochain,0,0.0,0.11,0.003
71,nochain,0,0.0,0.09,0.003
72,nochain,0,0.0,0.358,0.004
73,nochain,0,0.0,0.151,0.003
74,nochain,0,0.0,0.006,0.001
75,nochain,0,0.0,0.486,0.006
76,nochain,0,0.0,0.283,0.005
77,nochain,0,0.002,0.262,0.003
78,nochain,0,0.0,0.093,0.002
79,nochain,0,0.0,0.276,0.006
80,nochain,0,0.0,0.082,0.001
81,nochain,0,0.0,0.1,0.002
82,nochain,0,0.0,0.281,0.009
83,nochain,0,0.0,0.122,0.002
84,nochain,0,0.0,0.104,0.002
85,nochain,0,0.0,0.443,0.007
86,nochain,0,0.0,0.216,0.004
87,nochain,0,0.0,0.358,0.005
88,nochain,0,0.0,0.624,0.005
89,nochain,0,0.0,0.013,0.002
90,nochain,0,0.0,0.266,0.003
91,nochain,0,0.0,0.12,0.003
92,nochain,0,0.0,0.142,0.003
93,nochain,0,0.0,0.793,0.01
94,nochain,0,0.0,0.306,0.003
95,nochain,0,0.0,0.139,0.003
96,nochain,0,0.0,0.204,0.003
97,nochain,0,0.0,0.324,0.003
