doc,exp,sent_t,chain_t,umap_t,hdbscan_t
0,thres_70,0,0.004,10.556,0.003
1,thres_70,0,0.008,10.43,0.003
2,thres_70,0,0.009,10.657,0.006
3,thres_70,0,0.001,10.436,0.004
4,thres_70,0,0.003,10.637,0.004
5,thres_70,0,0.004,10.728,0.004
6,thres_70,0,0.001,0.128,0.002
7,thres_70,0,0.004,0.215,0.004
8,thres_70,0,0.002,0.183,0.003
9,thres_70,0,0.01,0.299,0.005
10,thres_70,0,0.001,0.133,0.003
11,thres_70,0,0.002,0.21,0.004
12,thres_70,0,0.007,0.282,0.004
13,thres_70,0,0.007,0.307,0.004
14,thres_70,0,0.005,0.19,0.004
15,thres_70,0,0.0,0.052,0.001
16,thres_70,0,0.001,0.087,0.002
17,thres_70,0,0.001,0.109,0.002
18,thres_70,0,0.0,0.028,0.002
19,thres_70,0,0.004,0.268,0.004
20,thres_70,0,0.002,0.182,0.003
21,thres_70,0,0.001,0.113,0.003
22,thres_70,0,0.002,0.105,0.002
23,thres_70,0,0.005,0.261,0.005
24,thres_70,0,0.001,0.112,0.003
25,thres_70,0,0.002,0.076,0.002
26,thres_70,0,0.009,0.236,0.003
27,thres_70,0,0.003,0.155,0.002
28,thres_70,0,0.002,0.102,0.003
29,thres_70,0,0.005,0.252,0.015
30,thres_70,0,0.003,0.087,0.002
31,thres_70,0,0.01,0.853,0.006
32,thres_70,0,0.002,0.144,0.003
33,thres_70,0,0.002,0.207,0.003
34,thres_70,0,0.002,0.161,0.007
35,thres_70,0,0.009,0.233,0.003
36,thres_70,0,0.005,0.408,0.01
37,thres_70,0,0.013,0.174,0.003
38,thres_70,0,0.001,0.104,0.002
39,thres_70,0,0.002,0.17,0.003
40,thres_70,0,0.002,0.129,0.003
41,thres_70,0,0.009,0.507,0.007
42,thres_70,0,0.007,0.215,0.006
43,thres_70,0,0.016,0.93,0.014
44,thres_70,0,0.004,0.155,0.003
45,thres_70,0,0.011,0.308,0.003
46,thres_70,0,0.004,0.215,0.002
47,thres_70,0,0.002,0.134,0.002
48,thres_70,0,0.002,0.134,0.003
49,thres_70,0,0.001,0.085,0.002
50,thres_70,0,0.002,0.087,0.002
51,thres_70,0,0.01,0.405,0.008
52,thres_70,0,0.004,0.286,0.006
53,thres_70,0,0.003,0.116,0.003
54,thres_70,0,0.002,0.126,0.002
55,thres_70,0,0.009,0.327,0.004
56,thres_70,0,0.0,0.072,0.003
57,thres_70,0,0.001,0.085,0.002
58,thres_70,0,0.002,0.118,0.002
59,thres_70,0,0.003,0.09,0.002
60,thres_70,0,0.003,0.207,0.002
61,thres_70,0,0.009,0.198,0.002
62,thres_70,0,0.005,0.247,0.005
63,thres_70,0,0.002,0.13,0.003
64,thres_70,0,0.003,0.2,0.003
65,thres_70,0,0.002,0.152,0.003
66,thres_70,0,0.005,0.239,0.006
67,thres_70,0,0.005,0.303,0.006
68,thres_70,0,0.006,0.41,0.008
69,thres_70,0,0.008,0.278,0.004
