doc,exp,sent_t,chain_t,umap_t,cluster_t
0,mpnet,0,0.008,9.794,0.003
1,mpnet,0,0.002,10.023,0.005
2,mpnet,0,0.006,9.928,0.003
3,mpnet,0,0.003,9.842,0.003
4,mpnet,0,0.004,9.797,0.003
5,mpnet,0,0.005,9.756,0.003
6,mpnet,0,0.006,0.072,0.002
7,mpnet,0,0.009,0.093,0.002
8,mpnet,0,0.008,0.108,0.003
9,mpnet,0,0.01,0.138,0.004
10,mpnet,0,0.002,0.127,0.003
11,mpnet,0,0.005,0.17,0.003
12,mpnet,0,0.008,0.163,0.004
13,mpnet,0,0.01,0.14,0.003
14,mpnet,0,0.005,0.12,0.003
15,mpnet,0,0.0,0.048,0.001
16,mpnet,0,0.003,0.064,0.002
17,mpnet,0,0.001,0.084,0.002
18,mpnet,0,0.0,0.028,0.002
19,mpnet,0,0.003,0.2,0.003
20,mpnet,0,0.003,0.132,0.003
21,mpnet,0,0.003,0.099,0.002
22,mpnet,0,0.005,0.073,0.002
23,mpnet,0,0.005,0.195,0.003
24,mpnet,0,0.003,0.089,0.002
25,mpnet,0,0.001,0.092,0.003
26,mpnet,0,0.005,0.13,0.003
27,mpnet,0,0.005,0.076,0.002
28,mpnet,0,0.001,0.066,0.002
29,mpnet,0,0.006,0.152,0.003
30,mpnet,0,0.001,0.119,0.002
31,mpnet,0,0.013,0.407,0.007
32,mpnet,0,0.002,0.077,0.002
33,mpnet,0,0.004,0.133,0.002
34,mpnet,0,0.003,0.084,0.002
35,mpnet,0,0.0,0.094,0.002
36,mpnet,0,0.01,0.227,0.004
37,mpnet,0,0.005,0.064,0.002
38,mpnet,0,0.001,0.069,0.001
39,mpnet,0,0.004,0.116,0.002
40,mpnet,0,0.002,0.066,0.002
41,mpnet,0,0.007,0.241,0.003
42,mpnet,0,0.006,0.075,0.002
43,mpnet,0,0.024,0.501,0.005
44,mpnet,0,0.004,0.072,0.002
45,mpnet,0,0.006,0.181,0.003
46,mpnet,0,0.014,0.109,0.003
47,mpnet,0,0.002,0.095,0.002
48,mpnet,0,0.006,0.075,0.002
49,mpnet,0,0.0,0.088,0.002
50,mpnet,0,0.003,0.068,0.002
51,mpnet,0,0.011,0.236,0.004
52,mpnet,0,0.005,0.191,0.004
53,mpnet,0,0.002,0.104,0.002
54,mpnet,0,0.002,0.081,0.002
55,mpnet,0,0.006,0.133,0.002
56,mpnet,0,0.0,0.061,0.002
57,mpnet,0,0.0,0.064,0.002
58,mpnet,0,0.001,0.128,0.003
59,mpnet,0,0.001,0.072,0.002
60,mpnet,0,0.005,0.15,0.002
61,mpnet,0,0.004,0.134,0.002
62,mpnet,0,0.006,0.174,0.003
63,mpnet,0,0.001,0.129,0.002
64,mpnet,0,0.005,0.111,0.003
65,mpnet,0,0.004,0.138,0.002
66,mpnet,0,0.008,0.172,0.004
67,mpnet,0,0.007,0.148,0.002
68,mpnet,0,0.026,0.25,0.005
69,mpnet,0,0.009,0.211,0.004
70,mpnet,0,0.001,0.104,0.003
71,mpnet,0,0.001,0.076,0.003
72,mpnet,0,0.006,0.169,0.002
73,mpnet,0,0.005,0.085,0.003
74,mpnet,0,0.0,0.0,0.0
75,mpnet,0,0.011,0.317,0.007
76,mpnet,0,0.005,0.099,0.002
77,mpnet,0,0.007,0.158,0.003
78,mpnet,0,0.0,0.092,0.002
79,mpnet,0,0.004,0.125,0.002
80,mpnet,0,0.0,0.066,0.002
81,mpnet,0,0.0,0.094,0.002
82,mpnet,0,0.007,0.118,0.002
83,mpnet,0,0.003,0.092,0.003
84,mpnet,0,0.002,0.071,0.003
85,mpnet,0,0.006,0.22,0.005
86,mpnet,0,0.003,0.082,0.002
87,mpnet,0,0.01,0.152,0.002
88,mpnet,0,0.01,0.237,0.003
89,mpnet,0,0.0,0.01,0.001
90,mpnet,0,0.003,0.116,0.002
91,mpnet,0,0.0,0.079,0.002
92,mpnet,0,0.001,0.116,0.003
93,mpnet,0,0.016,0.272,0.004
94,mpnet,0,0.002,0.071,0.002
95,mpnet,0,0.002,0.076,0.002
96,mpnet,0,0.001,0.105,0.003
97,mpnet,0,0.005,0.14,0.002
98,mpnet,0,0.006,0.089,0.002
99,mpnet,0,0.007,0.117,0.002
100,mpnet,0,0.004,0.124,0.003
101,mpnet,0,0.001,0.077,0.002
102,mpnet,0,0.005,0.115,0.002
103,mpnet,0,0.004,0.094,0.002
104,mpnet,0,0.001,0.071,0.003
105,mpnet,0,0.003,0.165,0.002
106,mpnet,0,0.014,0.282,0.004
107,mpnet,0,0.004,0.089,0.002
108,mpnet,0,0.005,0.107,0.003
109,mpnet,0,0.003,0.124,0.003
110,mpnet,0,0.0,0.073,0.002
111,mpnet,0,0.01,0.195,0.003
112,mpnet,0,0.001,0.064,0.002
113,mpnet,0,0.017,0.234,0.003
