query,doc,score
1,1127,5.361
1,3696,0.0
1,5480,21.995
1,380,0.0
1,2149,0.0
1,5967,0.0
1,5775,12.757
1,3400,0.0
1,933,0.0
1,2237,0.0
1,6629,0.0
1,548,0.0
1,6071,0.0
1,4997,0.0
1,3150,0.0
1,3176,0.0
1,295,0.0
1,5814,0.0
1,338,0.0
1,957,0.0
1,3799,0.0
1,1230,0.0
1,2106,0.0
1,763,0.0
1,96,0.0
1,193,0.0
1,3587,0.0
1,1766,0.0
1,5923,0.0
1,3190,0.0
1,6490,0.0
1,3307,0.0
1,5039,0.0
1,674,0.0
1,1057,0.0
1,2494,0.0
1,3821,0.0
1,136,0.0
1,372,0.0
1,4768,0.0
1,4384,0.0
1,288,0.0
1,3406,0.0
1,3588,0.0
1,4974,0.0
1,3303,0.0
1,272,0.0
1,6019,0.0
1,1560,0.0
1,208,0.0
1,1719,0.0
1,3391,0.0
1,386,0.0
1,6457,0.0
1,5048,0.0
1,4687,0.0
1,2261,0.0
1,5196,0.0
1,852,0.0
1,4911,0.0
1,6197,0.0
1,1823,0.0
1,3239,0.0
1,2131,0.0
1,1699,0.0
1,6085,0.0
1,2268,0.0
1,5760,0.0
1,1669,0.0
1,396,0.0
1,4102,0.0
1,1261,0.0
1,4261,0.0
1,2807,0.0
1,6267,0.0
1,1208,0.0
1,1358,0.0
1,3995,0.0
1,4625,0.0
1,1035,0.0
1,4355,0.0
1,4342,0.0
1,6067,0.0
1,1806,0.0
1,2778,0.0
1,3484,0.0
1,6098,0.0
1,601,0.0
1,3060,0.0
1,5572,0.0
1,5281,0.0
1,2571,0.0
1,6009,0.0
1,4629,0.0
1,3725,0.0
1,894,0.0
1,972,0.0
1,4909,0.0
1,1659,0.0
1,4155,0.0
1,1431,0.0
1,1272,0.0
1,3928,0.0
1,1165,0.0
1,3188,0.0
1,3738,0.0
1,5592,0.0
1,2535,0.0
1,1762,0.0
1,149,0.0
1,3989,0.0
1,4711,0.0
1,1481,0.0
1,3683,0.0
1,6550,0.0
1,2859,0.0
1,100,0.0
1,2769,0.0
1,5464,0.0
1,3468,0.0
1,2834,0.0
1,1262,0.0
1,1423,0.0
1,2174,0.0
1,1473,0.0
1,4518,0.0
1,1721,0.0
1,4902,0.0
1,5257,0.0
1,5208,0.0
1,3434,0.0
1,2007,0.0
1,4840,0.0
1,3520,0.0
1,5728,0.0
1,4872,0.0
1,4855,0.0
1,770,0.0
1,896,0.0
1,6355,0.0
1,5517,0.0
1,2580,0.0
1,6487,0.0
1,3861,0.0
1,6435,0.0
1,6375,0.0
1,1642,0.0
1,3570,0.0
1,857,0.0
1,4100,0.0
1,5545,0.0
1,707,0.0
1,2960,0.0
1,3896,0.0
1,5058,0.0
1,3704,0.0
1,1726,0.0
1,5709,0.0
1,4225,0.0
1,1125,0.0
1,1396,0.0
1,1008,0.0
1,2892,0.0
1,4203,0.0
1,2729,0.0
1,3612,0.0
1,2208,0.0
1,6180,0.0
1,3680,0.0
1,871,0.0
1,2699,0.0
1,3677,0.0
1,612,0.0
1,5504,0.0
1,6211,0.0
1,5421,0.0
1,1543,0.0
1,4120,0.0
1,573,0.0
1,1291,0.0
1,626,0.0
1,1260,0.0
1,3415,0.0
1,3829,0.0
1,167,0.0
1,1641,0.0
1,6499,0.0
1,1463,0.0
1,2348,0.0
1,5825,0.0
1,4470,0.0
1,6547,0.0
1,2543,0.0
1,4961,0.0
1,1295,0.0
1,4912,0.0
1,2966,0.0
