idx,query,doc,score
0,3,1658,5.919
1,3,205,0.0
2,3,5302,0.0
3,3,3261,34.227
4,3,96,0.0
5,3,4022,0.0
6,3,4660,0.0
7,3,1165,0.0
8,3,5553,0.0
9,3,4499,0.0
10,3,5957,0.0
11,3,5080,0.0
12,3,5724,0.0
13,3,5171,0.0
14,3,2008,0.0
15,3,2039,0.0
16,3,6328,0.0
17,3,1701,0.0
18,3,2185,0.0
19,3,3816,0.0
20,3,369,0.0
21,3,4212,0.0
22,3,1060,0.0
23,3,272,0.0
24,3,5948,0.0
25,3,5393,0.0
26,3,5615,0.0
27,3,674,0.0
28,3,3727,0.0
29,3,4328,0.0
30,3,396,0.0
31,3,2464,0.0
32,3,2927,0.0
33,3,4848,0.0
34,3,5826,0.0
35,3,4650,0.0
36,3,2368,0.0
37,3,2651,0.0
38,3,1880,0.0
39,3,51,0.0
40,3,2414,0.0
41,3,4348,0.0
42,3,1766,0.0
43,3,1643,0.0
44,3,1564,0.0
45,3,3014,0.0
46,3,4182,0.0
47,3,3211,0.0
48,3,1224,0.0
49,3,6341,0.0
50,3,1274,0.0
51,3,5972,0.0
52,3,6124,0.0
53,3,2593,0.0
54,3,5660,0.0
55,3,797,0.0
56,3,5967,0.0
57,3,4997,3.976
58,3,5301,0.0
59,3,295,7.258
60,3,5046,0.0
61,3,3892,0.0
62,3,3945,5.404
63,3,3455,0.0
64,3,4909,0.0
65,3,2838,0.0
66,3,3954,0.0
67,3,2766,0.0
68,3,4817,0.0
69,3,6310,0.0
70,3,91,0.0
71,3,4519,0.0
72,3,846,0.0
73,3,1785,0.0
74,3,3138,0.0
75,3,3669,0.0
76,3,4539,0.0
77,3,2822,0.0
78,3,891,0.0
79,3,1250,0.0
80,3,2878,0.0
81,3,5520,0.0
82,3,6197,0.0
83,3,1082,0.0
84,3,3714,0.0
85,3,1509,0.0
86,3,6293,0.0
87,3,2153,0.0
88,3,4559,0.0
89,3,1350,0.0
90,3,1035,0.0
91,3,2478,0.0
92,3,3171,0.0
93,3,3237,0.0
94,3,2176,0.0
95,3,5231,0.0
96,3,2089,0.0
97,3,2814,0.0
98,3,3404,0.0
99,3,2770,0.0
100,3,1340,0.0
101,3,2264,0.0
102,3,2373,0.0
103,3,1595,0.0
104,3,3798,0.0
105,3,4384,0.0
106,3,4403,0.0
